# x erf(x) gamma(x) lngamma(x)
2.300000e+00 9.988567e-01 1.166712e+00 1.541894e-01
2.350000e+00 9.991106e-01 1.203054e+00 1.848637e-01
2.400000e+00 9.993114e-01 1.242169e+00 2.168593e-01
2.450000e+00 9.994693e-01 1.284209e+00 2.501430e-01
2.500000e+00 9.995930e-01 1.329340e+00 2.846829e-01
2.550000e+00 9.996893e-01 1.377746e+00 3.204488e-01
2.600000e+00 9.997639e-01 1.429625e+00 3.574119e-01
2.650000e+00 9.998215e-01 1.485193e+00 3.955446e-01
2.700000e+00 9.998656e-01 1.544686e+00 4.348205e-01
2.750000e+00 9.998993e-01 1.608359e+00 4.752147e-01
2.800000e+00 9.999250e-01 1.676491e+00 5.167028e-01
2.850000e+00 9.999443e-01 1.749381e+00 5.592618e-01
2.900000e+00 9.999589e-01 1.827355e+00 6.028696e-01
2.950000e+00 9.999698e-01 1.910767e+00 6.475049e-01
3.000000e+00 9.999779e-01 2.000000e+00 6.931472e-01
3.050000e+00 9.999839e-01 2.095468e+00 7.397769e-01
3.100000e+00 9.999883e-01 2.197620e+00 7.873751e-01
3.150000e+00 9.999916e-01 2.306944e+00 8.359236e-01
3.200000e+00 9.999940e-01 2.423965e+00 8.854048e-01
3.250000e+00 9.999957e-01 2.549257e+00 9.358019e-01
3.300000e+00 9.999969e-01 2.683437e+00 9.870986e-01
3.350000e+00 9.999978e-01 2.827178e+00 1.039279e+00
3.400000e+00 9.999985e-01 2.981206e+00 1.092328e+00
3.450000e+00 9.999989e-01 3.146312e+00 1.146231e+00
3.500000e+00 9.999993e-01 3.323351e+00 1.200974e+00
3.550000e+00 9.999995e-01 3.513252e+00 1.256542e+00
3.600000e+00 9.999996e-01 3.717024e+00 1.312923e+00
3.650000e+00 9.999998e-01 3.935761e+00 1.370104e+00
3.700000e+00 9.999998e-01 4.170652e+00 1.428072e+00
3.750000e+00 9.999999e-01 4.422988e+00 1.486816e+00
3.800000e+00 9.999999e-01 4.694174e+00 1.546322e+00
3.850000e+00 9.999999e-01 4.985735e+00 1.606581e+00
3.900000e+00 1.000000e+00 5.299330e+00 1.667580e+00
3.950000e+00 1.000000e+00 5.636763e+00 1.729310e+00
4.000000e+00 1.000000e+00 6.000000e+00 1.791759e+00
