-1 0.355843 0.353227
-0.99 0.356976 0.354636
-0.98 0.356958 0.354983
-0.97 0.355766 0.354228
-0.96 0.353379 0.352332
-0.95 0.349778 0.34926
-0.94 0.344948 0.34498
-0.93 0.338874 0.339463
-0.92 0.331544 0.332684
-0.91 0.322951 0.324621
-0.9 0.313086 0.315257
-0.89 0.301948 0.30458
-0.88 0.289538 0.292581
-0.87 0.275857 0.279256
-0.86 0.260914 0.264606
-0.85 0.244719 0.248636
-0.84 0.227286 0.231359
-0.83 0.208634 0.21279
-0.82 0.188785 0.192951
-0.81 0.167766 0.171868
-0.8 0.145607 0.149573
-0.79 0.122344 0.126104
-0.78 0.0980155 0.101504
-0.77 0.072666 0.0758208
-0.76 0.0463435 0.0491083
-0.75 0.0191011 0.0214251
-0.74 -0.00900402 -0.00716481
-0.73 -0.0379099 -0.0365924
-0.72 -0.0675504 -0.0667838
-0.71 -0.0978548 -0.0976604
-0.7 -0.128748 -0.129139
-0.69 -0.160151 -0.161132
-0.68 -0.191982 -0.193549
-0.67 -0.224152 -0.226294
-0.66 -0.256571 -0.259268
-0.65 -0.289145 -0.292369
-0.64 -0.321776 -0.325492
-0.63 -0.354365 -0.35853
-0.62 -0.386808 -0.391374
-0.61 -0.418999 -0.423912
-0.6 -0.450831 -0.456032
-0.59 -0.482195 -0.487619
-0.58 -0.512981 -0.518561
-0.57 -0.543075 -0.548741
-0.56 -0.572367 -0.578048
-0.55 -0.600745 -0.606368
-0.54 -0.628096 -0.633588
-0.53 -0.65431 -0.659599
-0.52 -0.679276 -0.684293
-0.51 -0.702888 -0.707565
-0.5 -0.725039 -0.729313
-0.49 -0.745626 -0.749438
-0.48 -0.764551 -0.767846
-0.47 -0.781716 -0.784447
-0.46 -0.797031 -0.799156
-0.45 -0.810408 -0.811892
-0.44 -0.821767 -0.822582
-0.43 -0.83103 -0.831158
-0.42 -0.838128 -0.837558
-0.41 -0.842998 -0.841726
-0.4 -0.845584 -0.843616
-0.39 -0.845836 -0.843186
-0.38 -0.843713 -0.840405
-0.37 -0.839182 -0.835245
-0.36 -0.832218 -0.827692
-0.35 -0.822805 -0.817736
-0.34 -0.810935 -0.805376
-0.33 -0.796609 -0.790621
-0.32 -0.77984 -0.773486
-0.31 -0.760646 -0.753998
-0.3 -0.739056 -0.73219
-0.29 -0.715111 -0.708104
-0.28 -0.688857 -0.68179
-0.27 -0.660351 -0.653308
-0.26 -0.629662 -0.622724
-0.25 -0.596863 -0.590115
-0.24 -0.562038 -0.555561
-0.23 -0.525282 -0.519155
-0.22 -0.486694 -0.480993
-0.21 -0.446383 -0.441181
-0.2 -0.404465 -0.399829
-0.19 -0.361064 -0.357056
-0.18 -0.31631 -0.312983
-0.17 -0.270338 -0.26774
-0.16 -0.223289 -0.22146
-0.15 -0.17531 -0.17428
-0.14 -0.126553 -0.126344
-0.13 -0.0771698 -0.077795
-0.12 -0.0273198 -0.0287821
-0.11 0.0228375 0.0205447
-0.1 0.0731404 0.0700334
-0.09 0.123426 0.119531
-0.08 0.173531 0.168883
-0.07 0.223293 0.217936
-0.06 0.27255 0.266538
-0.05 0.321141 0.314535
-0.04 0.368909 0.361778
-0.03 0.415699 0.40812
-0.02 0.461361 0.453415
-0.01 0.505747 0.497521
7.5287e-16 0.548715 0.540302
0.01 0.59013 0.581625
0.02 0.629862 0.621361
0.03 0.667787 0.659389
0.04 0.703789 0.695593
0.05 0.737759 0.729862
0.06 0.769596 0.762094
0.07 0.799208 0.792193
0.08 0.826512 0.82007
0.09 0.851431 0.845647
0.1 0.873902 0.86885
0.11 0.893867 0.889617
0.12 0.91128 0.907893
0.13 0.926104 0.923631
0.14 0.938311 0.936794
0.15 0.947885 0.947355
0.16 0.954816 0.955295
0.17 0.959107 0.960605
0.18 0.960768 0.963283
0.19 0.95982 0.963338
0.2 0.956292 0.960789
0.21 0.950222 0.955662
0.22 0.941656 0.947993
0.23 0.93065 0.937825
0.24 0.917265 0.92521
0.25 0.901573 0.910209
0.26 0.883649 0.89289
0.27 0.863578 0.873329
0.28 0.841449 0.851608
0.29 0.817358 0.827816
0.3 0.791406 0.80205
0.31 0.763699 0.77441
0.32 0.734344 0.745004
0.33 0.703457 0.713944
0.34 0.671154 0.681346
0.35 0.637552 0.647329
0.36 0.602775 0.61202
0.37 0.566945 0.575543
0.38 0.530185 0.538029
0.39 0.492622 0.499609
0.4 0.454378 0.460415
0.41 0.415579 0.420582
0.42 0.37635 0.380242
0.43 0.336811 0.33953
0.44 0.297086 0.298578
0.45 0.257292 0.25752
0.46 0.217546 0.216484
0.47 0.177963 0.175599
0.48 0.138653 0.134991
0.49 0.0997247 0.0947814
0.5 0.0612817 0.0550902
0.51 0.0234245 0.0160323
0.52 -0.0137507 -0.0222814
0.53 -0.0501517 -0.0597445
0.54 -0.085691 -0.0962555
0.55 -0.120286 -0.131718
0.56 -0.153857 -0.166042
0.57 -0.186332 -0.199141
0.58 -0.217641 -0.230938
0.59 -0.24772 -0.261358
0.6 -0.276512 -0.290336
0.61 -0.303961 -0.317811
0.62 -0.33002 -0.343729
0.63 -0.354643 -0.368044
0.64 -0.377792 -0.390715
0.65 -0.399432 -0.411709
0.66 -0.419534 -0.430998
0.67 -0.438072 -0.448563
0.68 -0.455027 -0.464389
0.69 -0.470382 -0.478469
