0 1
0.00166759 0.999999
0.00327526 0.999995
0.00484658 0.999988
0.0063956 0.99998
0.00793084 0.999969
0.00945755 0.999955
0.0109789 0.99994
0.012497 0.999922
0.014013 0.999902
0.0155278 0.99988
0.0170417 0.999855
0.0185551 0.999828
0.0200682 0.999799
0.0215812 0.999767
0.023094 0.999734
0.0246067 0.999698
0.0261194 0.999659
0.0276321 0.999619
0.0291448 0.999576
0.0306574 0.999531
0.0321701 0.999483
0.0336828 0.999434
0.0351954 0.999382
0.0367081 0.999328
0.0382208 0.999271
0.0397335 0.999212
0.0412462 0.999151
0.0427589 0.999088
0.0442716 0.999022
0.0457843 0.998954
0.047297 0.998884
0.0488097 0.998812
0.0503225 0.998737
0.0518352 0.99866
0.053348 0.998581
0.0548607 0.9985
0.0563735 0.998416
0.0578863 0.99833
0.0593991 0.998242
0.0609119 0.998151
0.0624247 0.998058
0.0639375 0.997963
0.0654503 0.997866
0.0669632 0.997766
0.068476 0.997664
0.0699889 0.99756
0.0715017 0.997454
0.0730146 0.997345
0.0745275 0.997234
0.0760404 0.997121
0.0775533 0.997006
0.0790662 0.996888
0.0805791 0.996768
0.082092 0.996646
0.083605 0.996522
0.0851179 0.996395
0.0866309 0.996266
0.0881439 0.996135
0.0896569 0.996001
0.0911699 0.995866
0.0926829 0.995728
0.0941959 0.995588
0.0957089 0.995445
0.097222 0.995301
0.098735 0.995154
0.100248 0.995004
0.101761 0.994853
0.103274 0.994699
0.104787 0.994543
0.106301 0.994385
0.107814 0.994225
0.109327 0.994062
0.11084 0.993897
0.112353 0.99373
0.113866 0.993561
0.115379 0.993389
0.116893 0.993216
0.118406 0.993039
0.119919 0.992861
0.121432 0.992681
0.122946 0.992498
0.124459 0.992313
0.125972 0.992126
0.127486 0.991936
0.128999 0.991744
0.130512 0.991551
0.132026 0.991354
0.133539 0.991156
0.135052 0.990955
0.136566 0.990753
0.138079 0.990548
0.139593 0.99034
0.141106 0.990131
0.142619 0.989919
0.144133 0.989705
0.145646 0.989489
0.14716 0.989271
0.148673 0.98905
0.150187 0.988827
0.1517 0.988602
0.153214 0.988375
0.154728 0.988145
0.156241 0.987914
0.157755 0.98768
0.159268 0.987444
0.160782 0.987205
0.162296 0.986965
0.163809 0.986722
0.165323 0.986477
0.166837 0.98623
0.168351 0.985981
0.169864 0.985729
0.171378 0.985475
0.172892 0.985219
0.174406 0.984961
0.17592 0.984701
0.177433 0.984438
0.178947 0.984173
0.180461 0.983906
0.181975 0.983637
0.183489 0.983366
0.185003 0.983092
0.186517 0.982817
0.188031 0.982539
0.189545 0.982258
0.191059 0.981976
0.192573 0.981692
0.194087 0.981405
0.195601 0.981116
0.197115 0.980825
0.198629 0.980532
0.200144 0.980236
0.201658 0.979939
0.203172 0.979639
0.204686 0.979337
0.2062 0.979032
0.207715 0.978726
0.209229 0.978418
0.210743 0.978107
0.212257 0.977794
0.213772 0.977479
0.215286 0.977162
0.2168 0.976842
0.218315 0.976521
0.219829 0.976197
0.221344 0.975871
0.222858 0.975543
