0 0 0 0.00688293 inf
1 0.0998284 0 0.102697 0.0287318
2 0.19851 0.19851 0.19851 0
3 0.294324 0.294324 0.294324 0
4 0.384444 0.384444 0.384444 0
5 0.464521 0.464521 0.464521 0
6 0.528447 0 0.528862 0.000784453
7 0.568414 0 0.568729 0.000553889
8 0.575388 0.575388 0.575388 0
9 0.540103 0.540103 0.540103 0
10 0.454649 0 0.453909 -0.00162636
11 0.314613 0.314613 0.314613 0
12 0.12156 0 0.120021 -0.0126632
13 -0.114588 -0.114588 -0.114588 -0
14 -0.373931 -0.373931 -0.373931 -0
15 -0.6266 0 -0.595637 -0.0494144
16 -0.835232 0 -0.764128 -0.0851315
17 -0.960444 0 -0.863824 -0.100599
18 -0.969136 0 -0.879147 -0.0928547
19 -0.844373 0 -0.794518 -0.0590438
20 -0.594356 -0.594356 -0.594356 -0
21 -0.257065 0 -0.263085 0.0234164
22 0.102893 0.102893 0.102893 0
23 0.407173 0.407173 0.407173 0
24 0.585108 0 0.537897 -0.0806876
25 0.598143 0 0.529037 -0.115533
26 0.458003 0 0.414567 -0.0948378
27 0.228458 0.228458 0.228458 0
28 0.00468353 0.00468353 0.00468353 0
29 -0.126278 -0.126278 -0.126278 -0
30 -0.128579 -0.128579 -0.128579 -0
31 -0.0408694 0 -0.0917872 1.24586
32 0.0400275 0 -0.0548871 -2.37123
33 0.016623 0 -0.0568624 -4.42071
34 -0.136697 -0.136697 -0.136697 -0
35 -0.333374 -0.333374 -0.333374 -0
36 -0.408678 -0.408678 -0.408678 -0
37 -0.229108 0 -0.191084 -0.165964
38 0.182472 0.182472 0.182472 0
39 0.604242 0 0.575054 -0.0483045
40 0.724759 0.724759 0.724759 0
41 0.369681 0.369681 0.369681 0
42 -0.308045 -0.308045 -0.308045 -0
43 -0.85758 -0.85758 -0.85758 -0
44 -0.830299 0 -0.656084 -0.209822
45 -0.16572 -0.16572 -0.16572 -0
46 0.669775 0 0.151347 -0.774033
47 0.995042 0 0.352884 -0.645358
48 0.496655 0.496655 0.496655 0
49 -0.425612 0 0.640426 -2.50472
